Data,Bairros,Habitantes,Casos Suspeitos,Casos Negativos,Casos Confirmados
31/03/2024,Jardim Cruzeiro,14694,93,6,28
31/03/2024,Rua Nova,13078,14,11,18
31/03/2024,Lagoa Grande,12229,40,29,191
31/03/2024,Aviário,11912,87,32,133
31/03/2024,Santa Mônica,11617,42,6,90
31/03/2024,Centro,11382,48,15,239
31/03/2024,Pedra de Descanso,11156,22,29,97
31/03/2024,Caseb,10982,39,147,46
31/03/2024,São João,10239,15,119,45
31/03/2024,Cidade Nova,9974,22,276,40
31/03/2024,Jardim Acácia,9009,20,49,45
31/03/2024,Serraria Brasil,8368,23,33,116
31/03/2024,Baraúna,8093,163,23,78
31/03/2024,Cis,7887,75,15,90
31/03/2024,Ponto Central,7221,28,10,221
01/04/2024,Tomba,55007,136,34,1188
01/04/2024,Campo Limpo,47060,78,49,305
01/04/2024,Muchila,22496,66,13,164
01/04/2024,Conceição,21694,29,39,129
01/04/2024,Brasília,21168,540,275,2581
01/04/2024,Mangabeira,20819,75,127,84
01/04/2024,Calumbi,19858,107,5,104
01/04/2024,Queimadinha,19203,170,30,254
01/04/2024,Gabriela,17618,59,33,31
01/04/2024,Parque Ipê,16469,81,32,46
01/04/2024,Jardim Cruzeiro,14694,97,6,31
01/04/2024,Rua Nova,13078,14,11,20
01/04/2024,Lagoa Grande,12229,42,30,210
01/04/2024,Aviário,11912,91,33,146
01/04/2024,Santa Mônica,11617,44,6,99
01/04/2024,Centro,11382,50,16,263
01/04/2024,Pedra de Descanso,11156,23,30,106
01/04/2024,Caseb,10982,41,151,50
01/04/2024,São João,10239,16,122,49
01/04/2024,Cidade Nova,9974,23,284,44
01/04/2024,Jardim Acácia,9009,21,50,50
01/04/2024,Serraria Brasil,8368,24,34,128
01/04/2024,Baraúna,8093,170,24,86
01/04/2024,Cis,7887,79,15,99
01/04/2024,Ponto Central,7221,29,10,243
02/04/2024,Tomba,55007,142,35,1307
02/04/2024,Campo Limpo,47060,82,50,336
02/04/2024,Muchila,22496,69,13,180
02/04/2024,Conceição,21694,30,40,142
02/04/2024,Brasília,21168,567,283,2839
02/04/2024,Mangabeira,20819,78,131,93
02/04/2024,Calumbi,19858,113,5,114
02/04/2024,Queimadinha,19203,179,31,280
02/04/2024,Gabriela,17618,62,34,34
02/04/2024,Parque Ipê,16469,85,33,51
02/04/2024,Jardim Cruzeiro,14694,102,6,34
02/04/2024,Rua Nova,13078,15,11,22
02/04/2024,Lagoa Grande,12229,44,31,231
02/04/2024,Aviário,11912,95,34,161
02/04/2024,Santa Mônica,11617,46,6,109
02/04/2024,Centro,11382,53,16,289
02/04/2024,Pedra de Descanso,11156,24,31,117
02/04/2024,Caseb,10982,43,156,55
02/04/2024,São João,10239,17,126,54
02/04/2024,Cidade Nova,9974,24,292,49
02/04/2024,Jardim Acácia,9009,22,51,55
02/04/2024,Serraria Brasil,8368,25,35,141
02/04/2024,Baraúna,8093,178,25,95
02/04/2024,Cis,7887,82,15,109
02/04/2024,Ponto Central,7221,31,11,267
03/04/2024,Tomba,55007,149,36,1438
03/04/2024,Campo Limpo,47060,86,51,369
03/04/2024,Muchila,22496,72,13,198
03/04/2024,Conceição,21694,32,41,156
03/04/2024,Brasília,21168,595,292,3123
03/04/2024,Mangabeira,20819,82,135,102
03/04/2024,Calumbi,19858,119,5,125
03/04/2024,Queimadinha,19203,188,32,308
03/04/2024,Gabriela,17618,65,35,37
03/04/2024,Parque Ipê,16469,89,34,56
03/04/2024,Jardim Cruzeiro,14694,107,6,38
03/04/2024,Rua Nova,13078,16,11,24
03/04/2024,Lagoa Grande,12229,46,32,254
03/04/2024,Aviário,11912,100,35,177
03/04/2024,Santa Mônica,11617,48,6,120
03/04/2024,Centro,11382,55,16,318
03/04/2024,Pedra de Descanso,11156,25,32,129
03/04/2024,Caseb,10982,45,161,60
03/04/2024,São João,10239,18,129,59
03/04/2024,Cidade Nova,9974,25,301,54
03/04/2024,Jardim Acácia,9009,23,52,61
03/04/2024,Serraria Brasil,8368,26,36,155
03/04/2024,Baraúna,8093,187,26,105
03/04/2024,Cis,7887,86,15,120
03/04/2024,Ponto Central,7221,32,11,294
04/04/2024,Tomba,55007,156,37,1582
04/04/2024,Campo Limpo,47060,91,52,405
04/04/2024,Muchila,22496,75,14,218
04/04/2024,Conceição,21694,33,42,171
04/04/2024,Brasília,21168,625,301,3435
04/04/2024,Mangabeira,20819,85,139,112
04/04/2024,Calumbi,19858,125,5,137
04/04/2024,Queimadinha,19203,197,33,339
04/04/2024,Gabriela,17618,68,36,41
04/04/2024,Parque Ipê,16469,93,35,61
04/04/2024,Jardim Cruzeiro,14694,113,6,41
04/04/2024,Rua Nova,13078,17,11,26
04/04/2024,Lagoa Grande,12229,48,33,279
04/04/2024,Aviário,11912,105,36,195
04/04/2024,Santa Mônica,11617,51,6,132
04/04/2024,Centro,11382,58,16,349
04/04/2024,Pedra de Descanso,11156,27,33,142
04/04/2024,Caseb,10982,47,166,66
04/04/2024,São João,10239,19,133,64
04/04/2024,Cidade Nova,9974,26,310,59
04/04/2024,Jardim Acácia,9009,24,54,67
04/04/2024,Serraria Brasil,8368,27,37,171
04/04/2024,Baraúna,8093,196,27,115
04/04/2024,Cis,7887,90,16,132
04/04/2024,Ponto Central,7221,33,11,323
05/04/2024,Tomba,55007,163,39,1740
05/04/2024,Campo Limpo,47060,95,53,445
05/04/2024,Muchila,22496,78,14,239
05/04/2024,Conceição,21694,34,43,188
05/04/2024,Brasília,21168,656,311,3786
05/04/2024,Mangabeira,20819,89,143,124
05/04/2024,Calumbi,19858,131,5,150
05/04/2024,Queimadinha,19203,207,34,372
05/04/2024,Gabriela,17618,71,37,45
05/04/2024,Parque Ipê,16469,97,36,67
05/04/2024,Jardim Cruzeiro,14694,118,6,45
05/04/2024,Rua Nova,13078,18,11,28
05/04/2024,Lagoa Grande,12229,50,34,306
05/04/2024,Aviário,11912,111,37,215
05/04/2024,Santa Mônica,11617,53,6,145
05/04/2024,Centro,11382,61,17,384
05/04/2024,Pedra de Descanso,11156,28,34,156
05/04/2024,Caseb,10982,49,171,73
05/04/2024,São João,10239,20,137,69
05/04/2024,Cidade Nova,9974,27,319,65
05/04/2024,Jardim Acácia,9009,25,55,74
05/04/2024,Serraria Brasil,8368,28,38,188
05/04/2024,Baraúna,8093,206,28,126
05/04/2024,Cis,7887,94,16,145
05/04/2024,Ponto Central,7221,34,12,355
06/04/2024,Tomba,55007,171,40,1905
06/04/2024,Campo Limpo,47060,100,54,489
06/04/2024,Muchila,22496,81,15,262
06/04/2024,Conceição,21694,36,44,207
06/04/2024,Brasília,21168,689,322,4180
06/04/2024,Mangabeira,20819,92,148,138
06/04/2024,Calumbi,19858,138,5,164
06/04/2024,Queimadinha,19203,218,35,408
06/04/2024,Gabriela,17618,75,38,49
06/04/2024,Parque Ipê,16469,102,37,73
06/04/2024,Jardim Cruzeiro,14694,123,6,50
06/04/2024,Rua Nova,13078,19,11,31
06/04/2024,Lagoa Grande,12229,52,35,336
06/04/2024,Aviário,11912,116,38,237
06/04/2024,Santa Mônica,11617,56,6,159
06/04/2024,Centro,11382,64,17,422
06/04/2024,Pedra de Descanso,11156,29,35,171
06/04/2024,Caseb,10982,52,177,81
06/04/2024,São João,10239,21,143,75
06/04/2024,Cidade Nova,9974,29,328,72
06/04/2024,Jardim Acácia,9009,26,57,81
06/04/2024,Serraria Brasil,8368,30,39,207
06/04/2024,Baraúna,8093,217,29,138
06/04/2024,Cis,7887,98,16,159
06/04/2024,Ponto Central,7221,36,12,390
07/04/2024,Tomba,55007,179,41,2095
07/04/2024,Campo Limpo,47060,104,55,537
07/04/2024,Muchila,22496,85,15,287
07/04/2024,Conceição,21694,37,45,230
07/04/2024,Brasília,21168,724,333,4613
07/04/2024,Mangabeira,20819,96,153,154
07/04/2024,Calumbi,19858,145,5,179
07/04/2024,Queimadinha,19203,229,36,446
07/04/2024,Gabriela,17618,79,39,54
07/04/2024,Parque Ipê,16469,106,38,80
07/04/2024,Jardim Cruzeiro,14694,129,7,55
07/04/2024,Rua Nova,13078,20,11,34
07/04/2024,Lagoa Grande,12229,54,36,369
07/04/2024,Aviário,11912,121,39,261
07/04/2024,Santa Mônica,11617,59,7,177
07/04/2024,Centro,11382,67,17,465
07/04/2024,Pedra de Descanso,11156,31,36,187
07/04/2024,Caseb,10982,55,183,91
07/04/2024,São João,10239,22,149,82
07/04/2024,Cidade Nova,9974,30,338,80
07/04/2024,Jardim Acácia,9009,28,59,89
07/04/2024,Serraria Brasil,8368,31,40,227
07/04/2024,Baraúna,8093,228,30,150
07/04/2024,Cis,7887,103,16,175
07/04/2024,Ponto Central,7221,37,12,427
